,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
40080,2.0,01/01/2020 02:15:03 AM,01/01/2020 02:21:54 AM,2.0,1.42,1.0,N,97.0,25.0,1.0,7.0,0.5,0.5,2.08,0.0,0.3,10.38,0.0
40081,2.0,01/01/2020 02:33:44 AM,01/01/2020 02:57:37 AM,2.0,4.34,1.0,N,25.0,36.0,1.0,18.0,0.5,0.5,4.82,0.0,0.3,26.07,0.0
40082,1.0,01/01/2020 02:20:27 AM,01/01/2020 02:35:39 AM,2.0,2.1,1.0,N,246.0,137.0,1.0,11.5,3.0,0.5,3.05,0.0,0.3,18.35,2.5
40083,1.0,01/01/2020 02:43:31 AM,01/01/2020 02:58:17 AM,2.0,4.0,1.0,N,141.0,168.0,2.0,14.5,3.0,0.5,0.0,0.0,0.3,18.3,2.5
40084,2.0,01/01/2020 02:12:10 AM,01/01/2020 02:14:32 AM,1.0,0.6,1.0,N,141.0,263.0,1.0,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5
40085,2.0,01/01/2020 02:32:15 AM,01/01/2020 02:46:49 AM,1.0,5.24,1.0,N,236.0,232.0,2.0,17.5,0.5,0.5,0.0,0.0,0.3,21.3,2.5
40086,2.0,01/01/2020 02:40:24 AM,01/01/2020 02:58:33 AM,2.0,4.01,1.0,N,198.0,49.0,1.0,15.0,0.5,0.5,2.44,0.0,0.3,20.69,0.0
40087,1.0,01/01/2020 02:02:44 AM,01/01/2020 02:14:00 AM,1.0,1.1,1.0,N,142.0,48.0,1.0,8.5,3.0,0.5,1.0,0.0,0.3,13.3,2.5
40088,1.0,01/01/2020 02:15:32 AM,01/01/2020 02:49:54 AM,1.0,7.3,1.0,N,48.0,181.0,2.0,27.5,3.0,0.5,0.0,0.0,0.3,31.3,2.5
40089,1.0,01/01/2020 02:21:13 AM,01/01/2020 02:38:24 AM,4.0,3.6,1.0,N,48.0,231.0,1.0,15.0,3.0,0.5,0.5,0.0,0.3,19.3,2.5
40090,1.0,01/01/2020 02:41:03 AM,01/01/2020 02:48:32 AM,2.0,1.3,1.0,N,231.0,13.0,1.0,7.0,3.0,0.5,1.0,0.0,0.3,11.8,2.5
40091,1.0,01/01/2020 02:56:06 AM,01/01/2020 03:20:26 AM,2.0,6.5,1.0,N,125.0,151.0,2.0,22.5,3.0,0.5,0.0,0.0,0.3,26.3,2.5
40092,1.0,01/01/2020 02:28:21 AM,01/01/2020 02:56:38 AM,1.0,3.4,1.0,N,239.0,161.0,1.0,19.5,3.0,0.5,4.65,0.0,0.3,27.95,2.5
40093,1.0,01/01/2020 02:59:12 AM,01/01/2020 03:27:26 AM,1.0,9.8,1.0,N,161.0,181.0,1.0,31.0,3.0,0.5,8.65,0.0,0.3,43.45,2.5
40094,2.0,01/01/2020 02:13:09 AM,01/01/2020 02:28:17 AM,1.0,2.68,1.0,N,161.0,211.0,1.0,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5
40095,2.0,01/01/2020 02:29:33 AM,01/01/2020 02:56:59 AM,1.0,6.19,1.0,N,211.0,89.0,1.0,23.0,0.5,0.5,3.8,0.0,0.3,30.6,2.5
40096,2.0,01/01/2020 02:22:45 AM,01/01/2020 02:31:29 AM,1.0,1.32,1.0,N,249.0,90.0,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
40097,2.0,01/01/2020 02:35:44 AM,01/01/2020 02:52:26 AM,1.0,3.94,1.0,N,234.0,236.0,1.0,14.5,0.5,0.5,1.11,0.0,0.3,19.41,2.5
40098,1.0,01/01/2020 02:37:42 AM,01/01/2020 02:41:18 AM,4.0,0.4,1.0,N,48.0,48.0,1.0,4.0,3.0,0.5,1.95,0.0,0.3,9.75,2.5
40099,1.0,01/01/2020 02:44:12 AM,01/01/2020 03:09:14 AM,1.0,4.0,1.0,N,48.0,249.0,1.0,18.5,3.0,0.5,24.0,0.0,0.3,46.3,2.5
40100,1.0,01/01/2020 02:05:03 AM,01/01/2020 02:27:12 AM,3.0,8.5,1.0,N,152.0,260.0,2.0,27.0,0.5,0.5,0.0,6.12,0.3,34.42,0.0
40101,1.0,01/01/2020 02:44:09 AM,01/01/2020 02:51:54 AM,2.0,1.4,1.0,N,140.0,170.0,1.0,7.5,3.0,0.5,2.8,0.0,0.3,14.1,2.5
40102,2.0,01/01/2020 02:11:57 AM,01/01/2020 02:17:55 AM,1.0,0.67,1.0,N,129.0,129.0,2.0,5.5,0.5,0.5,0.0,0.0,0.3,6.8,0.0
40103,2.0,01/01/2020 02:12:38 AM,01/01/2020 02:30:17 AM,1.0,2.85,1.0,N,48.0,140.0,1.0,14.0,0.5,0.5,3.56,0.0,0.3,21.36,2.5
40104,2.0,01/01/2020 02:32:48 AM,01/01/2020 02:36:31 AM,1.0,0.92,1.0,N,140.0,262.0,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
40105,2.0,01/01/2020 02:48:27 AM,01/01/2020 02:59:02 AM,1.0,1.24,1.0,N,229.0,48.0,1.0,8.0,0.5,0.5,2.95,0.0,0.3,14.75,2.5
40106,2.0,01/01/2020 02:08:14 AM,01/01/2020 02:23:57 AM,1.0,2.6,1.0,N,148.0,87.0,1.0,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5
40107,2.0,01/01/2020 02:32:22 AM,01/01/2020 02:39:59 AM,1.0,1.82,1.0,N,231.0,88.0,1.0,7.5,0.5,0.5,2.82,0.0,0.3,14.12,2.5
40108,2.0,01/01/2020 02:41:36 AM,01/01/2020 02:59:30 AM,2.0,4.51,1.0,N,87.0,107.0,1.0,17.5,0.5,0.5,2.0,0.0,0.3,23.3,2.5
40109,1.0,01/01/2020 02:36:20 AM,01/01/2020 02:50:14 AM,1.0,2.9,1.0,N,229.0,68.0,1.0,12.0,3.0,0.5,3.15,0.0,0.3,18.95,2.5
40110,1.0,01/01/2020 02:52:40 AM,01/01/2020 03:10:01 AM,2.0,4.5,1.0,N,68.0,65.0,1.0,16.5,3.0,0.5,0.0,0.0,0.3,20.3,2.5
40111,2.0,01/01/2020 02:18:16 AM,01/01/2020 02:33:02 AM,1.0,6.38,1.0,N,148.0,263.0,1.0,19.5,0.5,0.5,4.66,0.0,0.3,27.96,2.5
40112,2.0,01/01/2020 02:52:58 AM,01/01/2020 03:02:05 AM,1.0,1.13,1.0,N,229.0,230.0,2.0,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
40113,2.0,01/01/2020 02:09:36 AM,01/01/2020 02:35:10 AM,1.0,15.32,1.0,N,256.0,250.0,2.0,42.0,0.5,0.5,0.0,6.12,0.3,49.42,0.0
40114,2.0,01/01/2020 02:09:36 AM,01/01/2020 02:24:39 AM,1.0,2.44,1.0,N,229.0,90.0,1.0,11.5,0.5,0.5,3.06,0.0,0.3,18.36,2.5
40115,2.0,01/01/2020 02:26:07 AM,01/01/2020 02:33:55 AM,1.0,1.88,1.0,N,90.0,48.0,2.0,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
40116,2.0,01/01/2020 02:34:46 AM,01/01/2020 02:46:20 AM,1.0,1.89,1.0,N,48.0,90.0,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
40117,2.0,01/01/2020 02:47:27 AM,01/01/2020 02:52:26 AM,1.0,0.89,1.0,N,90.0,107.0,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
40118,2.0,01/01/2020 02:55:59 AM,01/01/2020 03:02:37 AM,1.0,1.25,1.0,N,234.0,68.0,1.0,6.5,0.5,0.5,1.34,0.0,0.3,11.64,2.5
40119,1.0,01/01/2020 02:02:31 AM,01/01/2020 02:21:42 AM,0.0,7.7,1.0,N,232.0,146.0,1.0,24.0,3.0,0.5,5.55,0.0,0.3,33.35,2.5
40120,1.0,01/01/2020 02:42:42 AM,01/01/2020 02:51:35 AM,0.0,1.9,1.0,N,141.0,164.0,2.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
40121,1.0,01/01/2020 02:54:31 AM,01/01/2020 03:13:46 AM,0.0,5.1,1.0,N,164.0,87.0,2.0,20.0,3.0,0.5,0.0,0.0,0.3,23.8,2.5
40122,1.0,01/01/2020 02:15:54 AM,01/01/2020 02:40:07 AM,2.0,4.7,1.0,N,231.0,141.0,1.0,18.5,3.0,0.5,3.0,0.0,0.3,25.3,2.5
40123,1.0,01/01/2020 02:41:13 AM,01/01/2020 02:45:01 AM,1.0,0.7,1.0,N,141.0,141.0,1.0,5.0,3.0,0.5,0.75,0.0,0.3,9.55,2.5
40124,2.0,01/01/2020 02:40:39 AM,01/01/2020 02:50:44 AM,1.0,1.28,1.0,N,48.0,68.0,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
40125,2.0,01/01/2020 02:52:52 AM,01/01/2020 03:08:08 AM,1.0,1.92,1.0,N,68.0,107.0,1.0,11.5,0.5,0.5,3.06,0.0,0.3,18.36,2.5
40126,2.0,01/01/2020 02:11:26 AM,01/01/2020 02:20:33 AM,4.0,2.36,1.0,N,231.0,246.0,1.0,9.0,0.5,0.5,1.0,0.0,0.3,13.8,2.5
40127,2.0,01/01/2020 02:22:30 AM,01/01/2020 02:28:41 AM,4.0,1.11,1.0,N,68.0,186.0,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
40128,2.0,01/01/2020 02:30:14 AM,01/01/2020 02:42:07 AM,4.0,2.52,1.0,N,90.0,229.0,1.0,10.5,0.5,0.5,2.0,0.0,0.3,16.3,2.5
40129,2.0,01/01/2020 02:19:38 AM,01/01/2020 02:50:22 AM,1.0,6.18,1.0,N,48.0,265.0,1.0,24.0,0.5,0.5,11.49,10.5,0.3,49.79,2.5
