VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2.0,01/01/2020 12:05:31 AM,01/01/2020 12:25:18 AM,3.0,3.36,1.0,N,237.0,107.0,1.0,0.5,0.5,3.76,0.0,0.3,22.56,2.5
2.0,01/01/2020 12:42:23 AM,01/01/2020 12:47:08 AM,4.0,0.66,1.0,N,234.0,90.0,1.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
2.0,01/01/2020 12:51:18 AM,01/01/2020 01:04:08 AM,2.0,2.0,1.0,N,90.0,148.0,1.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
1.0,01/01/2020 12:33:31 AM,01/01/2020 12:59:47 AM,1.0,8.7,1.0,N,166.0,213.0,2.0,0.5,0.5,0.0,0.0,0.3,29.3,0.0
1.0,01/01/2020 12:26:44 AM,01/01/2020 12:48:11 AM,1.0,2.4,1.0,N,249.0,100.0,1.0,3.0,0.5,3.65,0.0,0.3,21.95,2.5
1.0,01/01/2020 12:59:30 AM,01/01/2020 01:08:40 AM,1.0,1.0,1.0,N,234.0,137.0,1.0,3.0,0.5,2.15,0.0,0.3,12.95,2.5
1.0,01/01/2020 12:20:02 AM,01/01/2020 12:26:23 AM,1.0,1.3,1.0,N,87.0,148.0,1.0,3.0,0.5,2.0,0.0,0.3,12.3,2.5
1.0,01/01/2020 12:30:08 AM,01/01/2020 12:43:24 AM,1.0,2.0,1.0,N,148.0,170.0,1.0,3.0,0.5,1.0,0.0,0.3,15.3,2.5
1.0,01/01/2020 12:55:41 AM,01/01/2020 01:31:23 AM,2.0,5.2,1.0,N,113.0,239.0,1.0,3.0,0.5,5.85,0.0,0.3,35.15,2.5
2.0,01/01/2020 12:21:24 AM,01/01/2020 12:33:45 AM,1.0,1.58,1.0,N,234.0,162.0,1.0,0.5,0.5,3.99,0.0,0.3,17.29,2.5
1.0,01/01/2020 12:28:35 AM,01/01/2020 12:44:47 AM,2.0,2.1,1.0,N,43.0,170.0,2.0,3.0,0.5,0.0,0.0,0.3,15.3,2.5
1.0,01/01/2020 12:59:54 AM,01/01/2020 01:20:08 AM,2.0,3.3,1.0,N,234.0,263.0,1.0,3.0,0.5,3.75,0.0,0.3,22.55,2.5
2.0,01/01/2020 12:20:37 AM,01/01/2020 12:26:18 AM,3.0,1.18,1.0,N,237.0,239.0,2.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
2.0,01/01/2020 12:29:55 AM,01/01/2020 12:48:40 AM,3.0,2.42,1.0,N,239.0,229.0,1.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
2.0,01/01/2020 12:50:47 AM,01/01/2020 01:08:23 AM,2.0,3.23,1.0,N,229.0,239.0,1.0,0.5,0.5,0.0,0.0,0.3,17.3,2.5
1.0,01/01/2020 12:27:00 AM,01/01/2020 12:49:22 AM,2.0,2.3,1.0,N,161.0,79.0,2.0,3.0,0.5,0.0,0.0,0.3,18.8,2.5
1.0,01/01/2020 12:53:50 AM,01/01/2020 01:04:39 AM,3.0,1.3,1.0,N,107.0,170.0,2.0,3.0,0.5,0.0,0.0,0.3,12.3,2.5
2.0,01/01/2020 12:09:11 AM,01/01/2020 12:28:51 AM,1.0,7.1,1.0,N,166.0,248.0,2.0,0.5,0.5,0.0,0.0,0.3,23.3,0.0
2.0,01/01/2020 12:42:15 AM,01/01/2020 01:16:20 AM,1.0,14.52,1.0,N,185.0,226.0,1.0,0.5,0.5,8.46,0.0,0.3,52.71,0.0
2.0,01/01/2020 12:15:13 AM,01/01/2020 12:26:52 AM,1.0,2.09,1.0,N,162.0,142.0,2.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
2.0,01/01/2020 12:28:39 AM,01/01/2020 12:54:21 AM,1.0,4.82,1.0,N,142.0,7.0,1.0,0.5,0.5,4.86,0.0,0.3,29.16,2.5
2.0,01/01/2020 12:13:16 AM,01/01/2020 12:17:45 AM,2.0,1.31,1.0,N,236.0,237.0,1.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
2.0,01/01/2020 12:20:03 AM,01/01/2020 12:29:43 AM,2.0,3.32,1.0,N,237.0,42.0,2.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5
2.0,01/01/2020 12:39:11 AM,01/01/2020 01:00:00 AM,1.0,2.8,1.0,N,236.0,162.0,2.0,0.5,0.5,0.0,0.0,0.3,18.8,2.5
2.0,01/01/2020 12:35:13 AM,01/01/2020 12:54:55 AM,2.0,4.55,1.0,N,189.0,80.0,1.0,0.5,0.5,0.0,0.0,0.3,18.8,0.0
2.0,01/01/2020 12:08:40 AM,01/01/2020 12:21:20 AM,2.0,1.75,1.0,N,211.0,107.0,2.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
2.0,01/01/2020 12:30:10 AM,01/01/2020 12:38:35 AM,2.0,1.12,1.0,N,162.0,170.0,1.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
2.0,01/01/2020 12:53:35 AM,01/01/2020 01:12:18 AM,2.0,4.07,1.0,N,79.0,262.0,1.0,0.5,0.5,4.82,0.0,0.3,24.12,2.5
2.0,01/01/2020 12:13:26 AM,01/01/2020 12:16:52 AM,1.0,1.17,1.0,N,142.0,238.0,1.0,0.5,0.5,1.0,0.0,0.3,10.3,2.5
