"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount","congestion_surcharge"
"2","01/01/2021 12:36:53 AM","01/01/2021 01:01:27 AM",3.0,16.54,2.0,N,132.0,229.0,1.0,52.0,0.0,0.5,11.06,0.0,0.3,66.36,2.5
"2","01/01/2021 12:04:44 AM","01/01/2021 12:15:06 AM",1.0,2.19,1.0,N,113.0,87.0,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
"2","01/01/2021 12:23:01 AM","01/01/2021 12:40:05 AM",1.0,4.09,1.0,N,261.0,48.0,1.0,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5
"2","01/01/2021 12:30:06 AM","01/01/2021 12:41:00 AM",1.0,3.26,1.0,N,125.0,48.0,2.0,11.5,0.5,0.5,0.0,0.0,0.3,15.3,2.5
"2","01/01/2021 12:46:50 AM","01/01/2021 12:51:49 AM",1.0,1.11,1.0,N,48.0,143.0,1.0,5.5,0.5,0.5,2.79,0.0,0.3,12.09,2.5
"2","01/01/2021 12:47:59 AM","01/01/2021 12:56:55 AM",1.0,2.87,1.0,N,186.0,231.0,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
"1","01/01/2021 12:33:01 AM","01/01/2021 12:46:17 AM",2.0,4.0,1.0,N,246.0,24.0,1.0,14.0,3.0,0.5,3.55,0.0,0.3,21.35,2.5
"1","01/01/2021 12:29:44 AM","01/01/2021 12:37:10 AM",1.0,1.3,1.0,Y,158.0,211.0,2.0,7.0,3.0,0.5,0.0,0.0,0.3,10.8,2.5
"1","01/01/2021 12:52:34 AM","01/01/2021 01:02:06 AM",3.0,2.3,1.0,Y,170.0,249.0,1.0,9.5,3.0,0.5,2.65,0.0,0.3,15.95,2.5
"1","01/01/2021 12:43:00 AM","01/01/2021 12:47:08 AM",1.0,0.8,1.0,N,237.0,236.0,1.0,5.0,3.0,0.5,0.75,0.0,0.3,9.55,2.5
"2","01/01/2021 12:20:06 AM","01/01/2021 12:35:57 AM",1.0,7.0,1.0,N,141.0,248.0,2.0,21.0,0.5,0.5,0.0,0.0,0.3,24.8,2.5
"2","01/01/2021 12:52:28 AM","01/01/2021 12:54:00 AM",1.0,0.51,1.0,N,75.0,263.0,2.0,3.5,0.5,0.5,0.0,0.0,0.3,4.8,0.0
"2","01/01/2021 12:56:22 AM","01/01/2021 01:00:09 AM",1.0,1.17,1.0,N,263.0,141.0,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
"1","01/01/2021 12:30:01 AM","01/01/2021 12:38:50 AM",1.0,3.0,1.0,Y,162.0,75.0,1.0,10.5,3.0,0.5,2.85,0.0,0.3,17.15,2.5
"1","01/01/2021 12:45:34 AM","01/01/2021 12:51:21 AM",2.0,2.0,1.0,Y,263.0,233.0,2.0,7.5,3.0,0.5,0.0,0.0,0.3,11.3,2.5
"1","01/01/2021 12:34:38 AM","01/01/2021 12:37:27 AM",2.0,1.1,1.0,N,141.0,263.0,1.0,5.0,3.0,0.5,2.5,0.0,0.3,11.3,2.5
"1","01/01/2021 12:39:50 AM","01/01/2021 12:41:19 AM",1.0,0.6,1.0,N,263.0,141.0,1.0,4.0,3.0,0.5,2.0,0.0,0.3,9.8,2.5
"1","01/01/2021 12:47:18 AM","01/01/2021 12:56:54 AM",3.0,2.5,1.0,N,262.0,142.0,1.0,10.0,3.0,0.5,2.0,0.0,0.3,15.8,2.5
"2","01/01/2021 12:22:09 AM","01/01/2021 12:30:51 AM",1.0,3.58,1.0,N,137.0,263.0,1.0,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
"2","01/01/2021 12:38:55 AM","01/01/2021 12:44:14 AM",1.0,1.24,1.0,N,140.0,229.0,1.0,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5
"2","01/01/2021 12:50:24 AM","01/01/2021 01:06:38 AM",1.0,4.78,1.0,N,140.0,113.0,1.0,17.0,0.5,0.5,4.16,0.0,0.3,24.96,2.5
"2","01/01/2021 12:27:50 AM","01/01/2021 12:35:34 AM",1.0,1.69,1.0,N,140.0,238.0,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
