VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,02/15/2021 02:15:26 PM,02/15/2021 02:19:57 PM,1.0,1.25,1.0,N,170.0,79.0,2.0,5.5,0.0,0.5,0.0,0.0,0.3,8.8,2.5
2,02/15/2021 02:12:17 PM,02/15/2021 02:14:15 PM,4.0,0.6,1.0,N,43.0,43.0,1.0,4.0,0.0,0.5,1.82,0.0,0.3,9.12,2.5
2,02/15/2021 02:31:34 PM,02/15/2021 02:35:32 PM,3.0,0.59,1.0,N,163.0,229.0,2.0,4.5,0.0,0.5,0.0,0.0,0.3,7.8,2.5
2,02/15/2021 02:44:21 PM,02/15/2021 02:51:50 PM,2.0,1.9,1.0,N,141.0,75.0,2.0,8.0,0.0,0.5,0.0,0.0,0.3,11.3,2.5
1,02/15/2021 02:09:55 PM,02/15/2021 02:14:34 PM,1.0,0.5,1.0,N,237.0,236.0,1.0,5.0,2.5,0.5,1.65,0.0,0.3,9.95,2.5
1,02/15/2021 02:44:31 PM,02/15/2021 03:15:57 PM,1.0,0.0,1.0,N,161.0,136.0,1.0,26.2,0.0,0.5,0.0,6.12,0.3,33.12,0.0
2,02/15/2021 02:47:49 PM,02/15/2021 03:00:19 PM,1.0,3.18,1.0,N,13.0,246.0,1.0,12.5,0.0,0.5,3.16,0.0,0.3,18.96,2.5
1,02/15/2021 02:28:33 PM,02/15/2021 02:36:10 PM,1.0,1.1,1.0,N,237.0,142.0,1.0,7.0,2.5,0.5,2.05,0.0,0.3,12.35,2.5
1,02/15/2021 02:48:19 PM,02/15/2021 03:06:52 PM,1.0,3.3,1.0,N,162.0,211.0,1.0,14.5,2.5,0.5,3.55,0.0,0.3,21.35,2.5
2,02/15/2021 02:51:06 PM,02/15/2021 03:02:19 PM,3.0,1.33,1.0,N,231.0,148.0,1.0,9.0,0.0,0.5,2.0,0.0,0.3,14.3,2.5
1,02/15/2021 02:55:34 PM,02/15/2021 03:04:39 PM,3.0,1.3,1.0,Y,161.0,48.0,2.0,7.5,2.5,0.5,0.0,0.0,0.3,10.8,2.5
2,02/15/2021 02:28:15 PM,02/15/2021 02:45:41 PM,1.0,3.35,1.0,N,263.0,164.0,1.0,13.5,0.0,0.5,1.0,0.0,0.3,17.8,2.5
2,02/15/2021 02:49:06 PM,02/15/2021 03:06:52 PM,1.0,3.42,1.0,N,161.0,238.0,1.0,14.5,0.0,0.5,3.56,0.0,0.3,21.36,2.5
